Node	Degree	Cluster_Coeff	Closeness	Betweenness	Eigenvector_centrality	Eccentricity	Average_neighbor_degree
A63	11	0.472727	0.096002	0.058816	0.452554	24	8.636364
A64	11	0.454545	0.096556	0.268898	0.463768	24	8.818182
A65	10	0.400000	0.091680	0.081044	0.390651	25	9.100000
A66	8	0.535714	0.091907	0.221758	0.300841	25	9.875000
A67	10	0.400000	0.086608	0.047649	0.244352	26	9.300000
A68	11	0.400000	0.086485	0.197562	0.229456	26	8.454545
A69	12	0.393939	0.081271	0.020454	0.142526	27	7.583333
A70	6	0.600000	0.079952	0.005262	0.073254	27	8.000000
A71	7	0.666667	0.079866	0.005373	0.077729	27	7.857143
A72	4	0.833333	0.074090	0.000003	0.029351	28	6.500000
A73	7	0.666667	0.075230	0.000368	0.060642	28	7.142857
A74	6	0.733333	0.075222	0.000355	0.053337	28	7.500000
A75	9	0.527778	0.080655	0.011107	0.113123	27	8.111111
A76	6	0.733333	0.075800	0.000558	0.058120	28	8.000000
A77	5	0.700000	0.076292	0.000734	0.054258	28	8.600000
A78	9	0.444444	0.081261	0.014840	0.100785	27	7.888889
A79	7	0.428571	0.081578	0.010558	0.075250	27	7.571429
A80	8	0.357143	0.086563	0.052374	0.140900	26	8.125000
A81	7	0.333333	0.082108	0.020151	0.057712	27	8.000000
A82	7	0.380952	0.083075	0.053529	0.054667	27	8.000000
A83	6	0.666667	0.082279	0.002336	0.056171	27	8.833333
A84	7	0.619048	0.087502	0.063245	0.076110	26	8.571428
A85	6	0.666667	0.091580	0.015371	0.077195	25	8.500000
A86	9	0.388889	0.092798	0.289475	0.180452	25	8.333333
A87	6	0.466667	0.096863	0.218420	0.130580	24	7.833333
A88	6	0.466667	0.096891	0.102692	0.154236	24	8.833333
A89	10	0.422222	0.097810	0.140658	0.347334	24	8.900000
A90	11	0.400000	0.098558	0.125401	0.533827	24	9.545455
A91	12	0.409091	0.103093	0.223013	0.649118	23	9.833333
A92	10	0.488889	0.097172	0.023951	0.648302	24	10.300000
A93	11	0.454545	0.096877	0.123279	0.692272	24	10.272727
A94	10	0.444444	0.092033	0.070894	0.578506	25	10.100000
A95	10	0.444444	0.091605	0.069124	0.487809	25	10.100000
A96	10	0.377778	0.087171	0.072320	0.331168	26	9.200000
A97	10	0.355556	0.082229	0.056360	0.181535	27	8.200000
A98	6	0.400000	0.082259	0.042330	0.074218	27	7.666667
A99	7	0.285714	0.077980	0.041213	0.044378	28	6.857143
A100	7	0.476190	0.078317	0.017351	0.045609	28	8.571428
A101	7	0.571429	0.074835	0.009182	0.043609	29	8.714286
A102	9	0.416667	0.074793	0.011732	0.052234	29	8.777778
A103	8	0.428571	0.078675	0.015354	0.054921	28	9.125000
A104	10	0.444444	0.083302	0.140732	0.088569	27	9.600000
A105	9	0.500000	0.082849	0.029880	0.087099	27	9.888889
A106	10	0.466667	0.082716	0.024757	0.100476	27	10.100000
A107	12	0.363636	0.086541	0.107989	0.101638	26	9.000000
A108	9	0.444444	0.086129	0.067854	0.068731	26	8.777778
A109	8	0.500000	0.080355	0.011320	0.042881	27	8.000000
A110	7	0.476190	0.080587	0.036223	0.030719	27	7.714286
A111	5	0.700000	0.075732	0.000461	0.013729	28	7.000000
A112	6	0.600000	0.075843	0.005986	0.013263	28	7.000000
A113	7	0.428571	0.075028	0.002808	0.020769	28	7.142857
A114	5	0.700000	0.075629	0.000171	0.025257	28	8.800000
A115	8	0.428571	0.080509	0.031212	0.049182	27	9.125000
A116	11	0.381818	0.081311	0.044453	0.077076	27	9.363636
A117	9	0.500000	0.081608	0.034115	0.076669	27	10.444445
A118	10	0.466667	0.077952	0.017715	0.082429	28	10.000000
A119	10	0.444444	0.077961	0.035664	0.074400	28	9.800000
A120	11	0.363636	0.078491	0.091551	0.068450	28	9.454545
A121	9	0.388889	0.074288	0.016037	0.041480	29	8.888889
A122	9	0.361111	0.073805	0.027431	0.034263	29	8.222222
A123	6	0.466667	0.069734	0.005324	0.017175	30	7.500000
A124	4	0.666667	0.069251	0.000279	0.010903	30	8.000000
A125	9	0.472222	0.069697	0.002353	0.028525	30	7.666667
A126	11	0.418182	0.073489	0.024283	0.047941	29	8.454545
A127	10	0.466667	0.073497	0.012261	0.050015	29	8.900000
A128	10	0.466667	0.073360	0.009158	0.056973	29	8.900000
A129	10	0.444444	0.076641	0.015976	0.058565	28	8.900000
A130	10	0.422222	0.076345	0.018344	0.055841	28	8.600000
A131	12	0.378788	0.076449	0.030325	0.054591	28	8.333333
A132	10	0.444444	0.075929	0.016883	0.038097	28	8.000000
A133	9	0.388889	0.072183	0.007938	0.023542	29	7.555555
A134	7	0.380952	0.072668	0.007428	0.014664	29	7.000000
A135	7	0.380952	0.076826	0.015077	0.016305	28	7.000000
A136	8	0.428571	0.073927	0.011370	0.028091	29	8.375000
A137	7	0.523810	0.073789	0.006189	0.023181	29	8.000000
A138	10	0.377778	0.078225	0.038331	0.040245	28	7.500000
A139	10	0.466667	0.074411	0.013944	0.050413	29	9.300000
A140	10	0.444444	0.074585	0.015426	0.058633	29	9.900000
A141	12	0.378788	0.073659	0.010121	0.062897	29	9.166667
A142	10	0.422222	0.073441	0.011102	0.048218	29	9.300000
A143	7	0.428571	0.072794	0.005614	0.033164	29	9.714286
A144	11	0.345455	0.072961	0.042136	0.040665	29	8.636364
A145	10	0.444444	0.072495	0.036568	0.031053	29	9.000000
A146	7	0.714286	0.068145	0.003520	0.015885	30	8.571428
A147	7	0.761905	0.067752	0.003284	0.011671	30	7.571429
A148	9	0.611111	0.068027	0.004137	0.014963	30	7.222222
A149	7	0.666667	0.064448	0.000757	0.010282	31	7.142857
A150	5	1.000000	0.063943	0.000000	0.006989	31	7.600000
A151	6	0.866667	0.063950	0.000006	0.008574	31	7.333333
A152	9	0.638889	0.068159	0.011267	0.017608	30	7.777778
A153	8	0.571429	0.068676	0.003854	0.018868	30	8.375000
A154	6	0.466667	0.068732	0.005733	0.014144	30	8.166667
A155	8	0.357143	0.069835	0.007102	0.025732	30	8.000000
A158	8	0.571429	0.069959	0.001677	0.034400	30	9.125000
A159	8	0.464286	0.073902	0.027088	0.034700	29	8.875000
A160	5	0.700000	0.069322	0.001558	0.015799	30	7.800000
A161	6	0.533333	0.069387	0.003466	0.017262	30	7.500000
A162	5	0.500000	0.068584	0.002309	0.010489	30	7.000000
A163	8	0.571429	0.072012	0.005022	0.023424	29	7.875000
A164	6	0.866667	0.071451	0.000067	0.020916	29	8.833333
A165	6	0.800000	0.071292	0.000060	0.020597	29	8.166667
A166	8	0.571429	0.071535	0.000694	0.028563	29	7.875000
A167	5	0.700000	0.071375	0.000103	0.020342	29	8.400000
A168	6	0.533333	0.071451	0.000521	0.024043	29	7.500000
A169	5	0.800000	0.071758	0.000061	0.024847	29	8.600000
A170	7	0.523810	0.072059	0.001438	0.028882	29	7.571429
A171	5	0.800000	0.068803	0.000038	0.022947	30	9.000000
A172	7	0.571429	0.069122	0.001422	0.023340	30	7.857143
A173	5	0.700000	0.068958	0.000469	0.013923	30	7.800000
A174	8	0.392857	0.069872	0.006129	0.018462	30	6.625000
A175	4	0.666667	0.068781	0.000583	0.007422	30	6.500000
A176	7	0.285714	0.073675	0.015534	0.020931	29	6.714286
A177	6	0.466667	0.072897	0.008216	0.013682	29	5.833333
A178	4	0.500000	0.072668	0.001741	0.011290	29	6.250000
A179	5	0.500000	0.076571	0.004772	0.021030	28	6.000000
A180	7	0.333333	0.076764	0.010578	0.046276	28	5.857143
A181	4	0.833333	0.074961	0.000150	0.020062	28	5.750000
A182	4	0.833333	0.074961	0.000150	0.020062	28	5.750000
A183	4	0.666667	0.074395	0.000122	0.025221	28	5.750000
A184	8	0.464286	0.080211	0.017834	0.089548	27	6.875000
A185	7	0.523810	0.080288	0.010882	0.098007	27	7.714286
A186	10	0.466667	0.085667	0.039092	0.226878	26	8.500000
A187	9	0.527778	0.081045	0.004239	0.190341	27	8.555555
A188	11	0.418182	0.086030	0.032433	0.352305	26	8.727273
A189	10	0.488889	0.090479	0.023211	0.458882	25	8.900000
A190	10	0.488889	0.090724	0.027432	0.516939	25	9.500000
A191	10	0.488889	0.090835	0.018265	0.566067	25	9.700000
A192	11	0.436364	0.095851	0.030585	0.611765	24	10.000000
A193	9	0.527778	0.096264	0.015767	0.509588	24	10.444445
A194	9	0.472222	0.095810	0.029638	0.421263	24	9.888889
A195	7	0.428571	0.090884	0.011042	0.210271	25	8.857142
A196	9	0.333333	0.091132	0.071908	0.126195	25	7.777778
A197	4	1.000000	0.084002	0.000000	0.037009	26	9.000000
A198	7	0.571429	0.084447	0.005480	0.048597	26	7.285714
A199	10	0.444444	0.084500	0.014781	0.069125	26	6.800000
A200	10	0.466667	0.084575	0.012652	0.090174	26	7.200000
A201	8	0.500000	0.085015	0.009062	0.107498	26	8.250000
A202	9	0.388889	0.088683	0.018605	0.207834	25	8.111111
A203	10	0.466667	0.089584	0.021535	0.355678	25	8.600000
A204	10	0.488889	0.090370	0.012534	0.377481	25	9.200000
A205	11	0.454545	0.090724	0.024250	0.436727	25	8.909091
A206	8	0.464286	0.090114	0.019353	0.349184	25	9.250000
A207	7	0.571429	0.085123	0.003776	0.307925	26	8.857142
A208	7	0.619048	0.085361	0.004870	0.261873	26	8.428572
A209	6	0.666667	0.084585	0.002130	0.190075	26	8.166667
A210	7	0.571429	0.084372	0.002947	0.188714	26	8.142858
A211	7	0.571429	0.079714	0.000928	0.146171	27	8.000000
A212	7	0.523810	0.083510	0.005945	0.103944	26	7.142857
A213	6	0.466667	0.083448	0.018403	0.067279	26	6.500000
A214	4	0.500000	0.085776	0.013611	0.020953	25	5.250000
A215	4	0.500000	0.085864	0.016800	0.011400	25	4.500000
A216	4	0.500000	0.089298	0.023125	0.006525	24	4.000000
A217	4	0.500000	0.089632	0.016165	0.008157	24	4.500000
A218	4	0.500000	0.094834	0.036045	0.018390	23	5.750000
A219	6	0.466667	0.095265	0.016015	0.037321	23	6.000000
A220	4	0.666667	0.095130	0.000832	0.030592	23	6.750000
A221	6	0.600000	0.092401	0.002326	0.073077	24	7.166667
A222	6	0.733333	0.092109	0.002206	0.093022	24	7.666667
A223	10	0.422222	0.094553	0.038599	0.230061	24	7.900000
A224	8	0.500000	0.089238	0.006482	0.220854	25	8.375000
A225	8	0.464286	0.089013	0.033552	0.210750	25	8.375000
A226	7	0.571429	0.084404	0.002816	0.203135	26	8.428572
A227	5	0.700000	0.082777	0.000454	0.107753	26	8.000000
A228	7	0.523810	0.083614	0.004924	0.124531	26	7.571429
A229	7	0.571429	0.082522	0.001203	0.081545	26	7.285714
A230	7	0.619048	0.079384	0.002073	0.060744	27	7.571429
A231	5	0.800000	0.078427	0.000143	0.037604	27	8.000000
A232	6	0.666667	0.079525	0.002188	0.037880	27	7.500000
A233	6	0.400000	0.080394	0.009876	0.035709	27	7.500000
A234	6	0.466667	0.084896	0.003687	0.042609	26	8.000000
A235	8	0.392857	0.086519	0.023217	0.074966	26	8.875000
A236	8	0.464286	0.091580	0.182166	0.087517	25	8.375000
A237	11	0.436364	0.087628	0.037317	0.113873	26	8.727273
A238	10	0.466667	0.087719	0.191943	0.108333	26	9.100000
A239	11	0.400000	0.083416	0.060880	0.096381	27	8.545455
A240	7	0.428571	0.078879	0.013437	0.057376	28	9.285714
A241	10	0.400000	0.078991	0.055980	0.069676	28	9.200000
A242	10	0.466667	0.075137	0.013264	0.063600	29	9.300000
A243	10	0.444444	0.075020	0.018093	0.063257	29	9.600000
A244	11	0.345455	0.077898	0.061421	0.070432	28	9.545455
A245	10	0.444444	0.077573	0.085979	0.056135	28	9.600000
A246	9	0.444444	0.072818	0.006553	0.035860	29	8.888889
A247	13	0.358974	0.072597	0.035260	0.035510	29	7.076923
A248	7	0.523810	0.067993	0.000398	0.014230	30	7.285714
A249	4	1.000000	0.067725	0.000000	0.007623	30	8.250000
A250	6	0.533333	0.067738	0.006107	0.008125	30	6.166667
A251	2	1.000000	0.063459	0.000000	0.001312	31	5.000000
A252	4	0.500000	0.067215	0.003347	0.003723	30	5.000000
A253	5	0.500000	0.071997	0.015297	0.013226	29	7.800000
A254	7	0.571429	0.067745	0.000243	0.010949	30	6.571429
A255	7	0.571429	0.071627	0.001005	0.016401	29	7.285714
A256	5	0.800000	0.071604	0.000409	0.013990	29	8.200000
A257	5	0.800000	0.071704	0.000038	0.016147	29	8.600000
A258	9	0.500000	0.076941	0.032799	0.044008	28	8.444445
A259	8	0.464286	0.077367	0.061233	0.052811	28	9.000000
A260	8	0.428571	0.081937	0.176238	0.099987	27	9.375000
A261	7	0.476190	0.081608	0.057377	0.121585	27	8.714286
A262	7	0.476190	0.082098	0.021179	0.185664	27	9.285714
A263	9	0.472222	0.086765	0.059200	0.313896	26	9.222222
A264	10	0.466667	0.086957	0.025006	0.398422	26	9.500000
A265	10	0.444444	0.091718	0.049502	0.534355	25	9.900000
A266	10	0.488889	0.096905	0.056256	0.588162	24	10.300000
A267	10	0.488889	0.097130	0.027509	0.609483	24	10.600000
A268	9	0.500000	0.097370	0.016597	0.513662	24	10.555555
A269	8	0.500000	0.103077	0.266305	0.332062	23	9.375000
A270	12	0.348485	0.102950	0.322425	0.397506	23	8.333333
A271	7	0.619048	0.106671	0.253957	0.182869	22	8.714286
A272	7	0.666667	0.106265	0.121473	0.154489	22	8.857142
A273	10	0.422222	0.110579	0.501778	0.188605	21	8.200000
A274	9	0.472222	0.109836	0.103414	0.171381	21	8.444445
A275	11	0.400000	0.102243	0.026116	0.197286	22	8.545455
A276	10	0.444444	0.098183	0.009958	0.167089	22	8.800000
A277	11	0.490909	0.094446	0.010198	0.166168	23	9.090909
A278	11	0.490909	0.092287	0.004409	0.142941	23	8.727273
A279	13	0.448718	0.090626	0.016687	0.133257	23	8.307693
A280	9	0.611111	0.085579	0.003695	0.075698	24	8.000000
A281	7	0.761905	0.084479	0.001040	0.056004	24	8.285714
A282	4	1.000000	0.078898	0.000000	0.029067	25	8.000000
A283	9	0.555556	0.085601	0.007852	0.068644	24	7.666667
A284	7	0.714286	0.084896	0.002689	0.062050	24	8.285714
A285	9	0.583333	0.091743	0.018506	0.110448	23	9.222222
A286	7	0.666667	0.091668	0.008678	0.087031	23	9.285714
A287	7	0.714286	0.092811	0.002906	0.107645	23	9.714286
A288	9	0.527778	0.100254	0.054221	0.153620	22	9.333333
A289	8	0.500000	0.101484	0.016607	0.178285	22	9.750000
A290	10	0.400000	0.110506	0.149128	0.229883	21	9.300000
A291	9	0.444444	0.107596	0.028090	0.242487	21	9.555555
A292	9	0.361111	0.113907	0.608233	0.226107	20	9.333333
A293	8	0.428571	0.115140	0.747694	0.206353	20	9.250000
A294	8	0.500000	0.111611	0.049389	0.252607	20	9.250000
A295	8	0.392857	0.108766	0.079461	0.364683	20	10.125000
A296	9	0.388889	0.103876	0.093317	0.360398	21	9.666667
A297	11	0.418182	0.107372	0.131088	0.345266	21	9.181818
A298	11	0.436364	0.109388	0.081419	0.376947	20	9.090909
A299	10	0.488889	0.107355	0.037689	0.349254	20	9.300000
A300	11	0.454545	0.102541	0.031562	0.298438	21	8.272727
A301	9	0.472222	0.102871	0.018632	0.257504	21	9.111111
A302	7	0.666667	0.104313	0.047743	0.229732	20	9.000000
A303	7	0.666667	0.099333	0.004530	0.182153	21	8.571428
A304	6	0.533333	0.098981	0.044040	0.133212	21	8.166667
A305	6	0.600000	0.093916	0.003916	0.114869	22	7.166667
A306	4	0.833333	0.093602	0.000899	0.083418	22	8.000000
A307	4	0.666667	0.090577	0.000303	0.078386	22	7.250000
A308	11	0.309091	0.098616	0.033851	0.261353	21	7.454545
A309	8	0.535714	0.094928	0.003075	0.247974	21	8.500000
A310	7	0.619048	0.095116	0.011159	0.249966	21	9.857142
A311	9	0.444444	0.095333	0.012537	0.371874	21	9.111111
A312	8	0.464286	0.099142	0.051478	0.434713	20	9.625000
A313	6	0.533333	0.100995	0.004183	0.371694	20	9.166667
A314	7	0.666667	0.104901	0.002132	0.459972	19	9.285714
A315	9	0.388889	0.109890	0.141023	0.476361	19	8.888889
A316	6	0.666667	0.108996	0.026239	0.306819	18	8.666667
A317	6	0.600000	0.105082	0.012869	0.251456	18	8.333333
A318	8	0.392857	0.113233	0.181998	0.197019	17	6.750000
A319	7	0.428571	0.108099	0.023386	0.087498	17	6.857143
A320	7	0.333333	0.113502	0.477242	0.042472	16	7.428571
A321	5	0.400000	0.112284	0.534828	0.021089	16	6.800000
A322	7	0.428571	0.110379	0.773905	0.015983	16	7.428571
A323	5	0.600000	0.109710	0.156613	0.010311	16	7.600000
A324	6	0.600000	0.106977	0.235933	0.008958	17	8.166667
A325	6	0.666667	0.101102	0.019216	0.008521	18	9.500000
A326	11	0.363636	0.104053	0.399106	0.010368	18	7.727273
A327	10	0.400000	0.099896	0.066869	0.009346	19	8.300000
A328	9	0.416667	0.098544	0.023752	0.009309	19	9.222222
A329	8	0.357143	0.094995	0.047240	0.006607	20	8.000000
A330	7	0.333333	0.091380	0.029745	0.008009	21	8.000000
A331	6	0.466667	0.089465	0.046913	0.003662	21	6.500000
A332	3	0.666667	0.084224	0.000070	0.001917	22	6.666667
A333	7	0.380952	0.085144	0.039046	0.005632	22	6.571429
A334	5	0.900000	0.080345	0.000423	0.004598	23	8.200000
A335	7	0.619048	0.080694	0.029218	0.005529	23	7.428571
A336	7	0.523810	0.079309	0.033750	0.005058	23	7.285714
A337	5	0.500000	0.076240	0.027038	0.001382	24	6.600000
A338	6	0.600000	0.074986	0.021478	0.000907	24	6.166667
A339	6	0.733333	0.072794	0.004714	0.000455	25	6.000000
A340	7	0.666667	0.072810	0.013675	0.000524	25	5.857143
A341	6	0.800000	0.071642	0.002012	0.000386	25	6.166667
A342	6	0.800000	0.071642	0.002012	0.000386	25	6.166667
A343	6	0.666667	0.069915	0.006895	0.000520	26	5.833333
A344	6	0.533333	0.069915	0.008164	0.000693	26	5.333333
A345	4	0.500000	0.067459	0.011480	0.002247	27	5.250000
A346	3	0.666667	0.067445	0.003977	0.002195	27	5.333333
A347	6	0.333333	0.071704	0.030186	0.016876	26	7.833333
A348	8	0.500000	0.072074	0.026920	0.023613	26	9.000000
A349	10	0.422222	0.072292	0.063981	0.024616	26	9.400000
A350	10	0.422222	0.072385	0.037282	0.024995	26	9.500000
A351	10	0.355556	0.072128	0.144061	0.016108	26	8.700000
A352	8	0.428571	0.071804	0.085168	0.014700	26	8.000000
A353	10	0.466667	0.076345	0.261684	0.030879	25	9.100000
A354	7	0.523810	0.075990	0.055810	0.024325	25	9.142858
A355	6	0.666667	0.075646	0.003298	0.022696	25	9.000000
A356	6	0.666667	0.079271	0.003227	0.022127	24	8.500000
A357	7	0.714286	0.083458	0.006171	0.025213	23	9.000000
A358	7	0.714286	0.083458	0.006171	0.025213	23	9.000000
A359	8	0.500000	0.083209	0.013230	0.021663	23	9.125000
A360	5	0.700000	0.081757	0.001232	0.009844	23	9.600000
A361	11	0.436364	0.082178	0.014109	0.014858	23	8.000000
A362	9	0.500000	0.084918	0.022234	0.010436	22	8.444445
A363	8	0.428571	0.084224	0.023523	0.007947	22	8.375000
A364	7	0.476190	0.085069	0.020152	0.004844	22	8.285714
A365	6	0.466667	0.084256	0.004539	0.004114	22	8.500000
A366	9	0.416667	0.084681	0.034896	0.004688	22	7.333333
A367	7	0.571429	0.080240	0.014622	0.002552	23	6.857143
A368	6	0.800000	0.079535	0.005275	0.001984	23	7.000000
A369	8	0.535714	0.079962	0.011731	0.003501	23	6.875000
A370	6	0.800000	0.079535	0.005275	0.001984	23	7.000000
A371	6	0.666667	0.076458	0.008837	0.001923	24	6.166667
A372	6	0.533333	0.076007	0.016229	0.003260	24	6.166667
A373	4	0.500000	0.073080	0.003631	0.004075	25	6.250000
A374	7	0.476190	0.073240	0.012790	0.015965	25	7.142857
A375	6	0.600000	0.070668	0.001961	0.015640	26	7.500000
A376	6	0.666667	0.070750	0.000427	0.018190	26	8.166667
A377	7	0.619048	0.074635	0.003763	0.022417	25	8.285714
A378	7	0.523810	0.074802	0.004941	0.023360	25	8.714286
A379	9	0.500000	0.079196	0.011571	0.024770	24	8.777778
A380	10	0.488889	0.079327	0.010995	0.024550	24	8.200000
A381	8	0.642857	0.079103	0.005538	0.018496	24	8.500000
A382	8	0.571429	0.081977	0.009958	0.017939	23	9.000000
A383	8	0.535714	0.081717	0.012359	0.012810	23	8.125000
A384	8	0.464286	0.081271	0.008837	0.009334	23	8.000000
A385	7	0.571429	0.085101	0.011687	0.005885	22	8.428572
A386	6	0.666667	0.084928	0.006997	0.005684	22	8.333333
A387	9	0.416667	0.085809	0.026489	0.008982	22	7.666667
A388	11	0.400000	0.089548	0.078424	0.008125	21	7.545455
A389	7	0.619048	0.089310	0.014627	0.006177	21	8.285714
A390	8	0.464286	0.090811	0.018368	0.011014	21	9.250000
A391	8	0.464286	0.092503	0.022443	0.014977	21	10.000000
A392	12	0.393939	0.094287	0.532248	0.028612	21	9.333333
A393	9	0.472222	0.087950	0.005376	0.020846	22	9.111111
A394	11	0.436364	0.088954	0.113873	0.034724	22	9.454545
A395	10	0.533333	0.084044	0.017021	0.038995	23	9.400000
A396	10	0.533333	0.084511	0.213664	0.040434	23	9.300000
A397	11	0.454545	0.079866	0.026893	0.044451	24	8.818182
A398	10	0.444444	0.080577	0.327217	0.041739	24	9.100000
A399	10	0.422222	0.076214	0.026543	0.041364	25	9.200000
A400	12	0.378788	0.076458	0.057440	0.044601	25	9.166667
A401	10	0.422222	0.072268	0.018402	0.038324	26	9.900000
A402	8	0.535714	0.071758	0.017955	0.030944	26	10.500000
A403	9	0.583333	0.067821	0.007222	0.024963	27	9.333333
A404	11	0.472727	0.067848	0.016405	0.026877	27	8.545455
A405	7	0.571429	0.063895	0.002200	0.012353	28	8.000000
A406	7	0.523810	0.067595	0.006167	0.012898	27	8.428572
A407	6	0.600000	0.064146	0.002650	0.007718	28	8.166667
A408	7	0.523810	0.067222	0.004747	0.005807	27	7.571429
A409	11	0.363636	0.067547	0.012056	0.007768	27	7.636364
A410	6	0.533333	0.067323	0.003880	0.003969	27	7.833333
A411	8	0.392857	0.070735	0.030171	0.003592	26	6.500000
A412	4	0.666667	0.070216	0.010350	0.001470	26	6.500000
A413	4	0.666667	0.066396	0.001847	0.001439	27	6.500000
A414	8	0.464286	0.067154	0.005958	0.004123	27	7.250000
A415	6	0.600000	0.063725	0.000933	0.003808	28	8.666667
A416	7	0.666667	0.063907	0.000808	0.004878	28	8.857142
A417	6	0.600000	0.063950	0.002234	0.004502	28	9.333333
A418	9	0.638889	0.067649	0.006708	0.007668	27	9.333333
A419	11	0.527273	0.067677	0.010446	0.008459	27	8.727273
A420	11	0.454545	0.067602	0.014061	0.007708	27	8.000000
A421	11	0.345455	0.064572	0.016617	0.007368	28	7.818182
A422	9	0.527778	0.068409	0.016541	0.010898	27	10.000000
A423	9	0.500000	0.068214	0.014072	0.010429	27	9.555555
A424	9	0.444444	0.071497	0.066928	0.007209	26	8.666667
A425	6	0.400000	0.071186	0.013489	0.003739	26	7.333333
A426	6	0.333333	0.075104	0.130618	0.004439	25	6.500000
A427	6	0.400000	0.074810	0.064023	0.004114	25	6.166667
A428	6	0.600000	0.079252	0.083297	0.010084	24	7.666667
A429	7	0.571429	0.079440	0.123194	0.013812	24	8.000000
A430	9	0.472222	0.084097	0.175098	0.025620	23	8.777778
A431	11	0.436364	0.084649	0.085860	0.037382	23	9.181818
A432	9	0.500000	0.079591	0.010967	0.037349	24	9.777778
A433	10	0.444444	0.080029	0.059494	0.042385	24	9.600000
A434	10	0.444444	0.075323	0.009788	0.041217	25	9.000000
A435	12	0.409091	0.075553	0.060336	0.045613	25	8.750000
A436	9	0.472222	0.071490	0.010347	0.034923	26	9.333333
A437	7	0.666667	0.071398	0.022395	0.028313	26	10.571428
A438	9	0.472222	0.071322	0.037433	0.026055	26	8.444445
A439	9	0.388889	0.067513	0.026265	0.017318	27	8.222222
A440	5	0.900000	0.066820	0.001761	0.007442	27	7.800000
A441	5	0.900000	0.066820	0.001761	0.007442	27	7.800000
A442	6	0.666667	0.067202	0.004582	0.008090	27	7.833333
A443	10	0.400000	0.063791	0.009536	0.008280	28	7.300000
A444	5	0.800000	0.060322	0.000026	0.003268	29	8.000000
A445	6	0.800000	0.060328	0.000029	0.003911	29	8.000000
A446	5	0.600000	0.060524	0.000192	0.002963	29	7.800000
A447	10	0.488889	0.063846	0.004086	0.006637	28	7.500000
